SalesOrderID RevisionNumber OrderDate               DueDate                 ShipDate                Status OnlineOrderFlag SalesOrderNumber          PurchaseOrderNumber       AccountNumber   CustomerID  SalesPersonID TerritoryID BillToAddressID ShipToAddressID ShipMethodID CreditCardID CreditCardApprovalCode CurrencyRateID SubTotal              TaxAmt                Freight               TotalDue              Comment                                                                                                                          rowguid                              ModifiedDate
------------ -------------- ----------------------- ----------------------- ----------------------- ------ --------------- ------------------------- ------------------------- --------------- ----------- ------------- ----------- --------------- --------------- ------------ ------------ ---------------------- -------------- --------------------- --------------------- --------------------- --------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------------------ -----------------------
51131        8              2013-05-30 00:00:00.000 2013-06-11 00:00:00.000 2013-06-06 00:00:00.000 5      0               SO51131                   PO16298169856             10-4020-000599  29641       281           4           1088            1088            5            4830         27578Vi25371           NULL           163930.3943           17948.5186            5608.9121             187487.825            NULL                                                                                                                             45E8CF5F-1D87-4282-8EAA-1903927F84EF 2013-06-06 00:00:00.000
55282        8              2013-08-30 00:00:00.000 2013-09-11 00:00:00.000 2013-09-06 00:00:00.000 5      0               SO55282                   PO16298125578             10-4020-000599  29641       281           4           1088            1088            5            4830         27392Vi25371           NULL           160378.3913           16487.7988            5152.4371             182018.6272           NULL                                                                                                                             3984D8DD-64FB-4C2E-9CDC-D1DE368F7580 2013-09-06 00:00:00.000
46616        8              2012-05-30 00:00:00.000 2012-06-11 00:00:00.000 2012-06-06 00:00:00.000 5      0               SO46616                   PO14732122562             10-4020-000514  29614       289           6           529             529             5            1566         85844Vi8045            4387           150837.4387           14990.6516            4684.5786             170512.6689           NULL                                                                                                                             C3B00C3D-F239-4328-A0C7-FA9AA4676FCC 2012-06-06 00:00:00.000
46981        8              2012-06-30 00:00:00.000 2012-07-12 00:00:00.000 2012-07-07 00:00:00.000 5      0               SO46981                   PO13427119728             10-4020-000638  30103       290           7           710             710             5            336          96011Vi1671            NULL           147390.9328           14587.5413            4558.6067             166537.0808           NULL                                                                                                                             3F9C920F-2739-42DB-A210-D5261D1C65AF 2012-07-07 00:00:00.000
47395        8              2012-07-31 00:00:00.000 2012-08-12 00:00:00.000 2012-08-07 00:00:00.000 5      0               SO47395                   PO11455133549             10-4020-000072  29701       275           2           762             762             5            17544        26265Vi91102           NULL           146154.5653           14380.3298            4493.8531             165028.7482           NULL                                                                                                                             272EF1D9-AF26-4645-951A-107C06AA1202 2012-08-07 00:00:00.000

(5 rows affected)


Completion time: 2025-01-22T14:25:53.2769411-06:00
