CustomerID  TotalAmountSpent
----------- ---------------------
29818       989184.082
29715       961675.8596
29722       954021.9235
30117       919801.8188
29614       901346.856
29639       887090.4106
29701       841866.5522
29617       834475.9271
29994       824331.7682
29646       820383.5466
29580       815914.2534
29827       801766.21
29497       789884.2937
29716       781073.7175
29913       757449.6804
30103       725867.1659
29957       718258.8109
29523       696703.605
29616       695242.2258
30048       678828.8377
29562       665292.381
29772       660645.9404
29712       653973.7646
30107       650362.0535
29924       644168.1552
30050       631355.0743
29641       606819.6087
29966       605358.542
29997       604794.7839
29689       600077.2722
29486       584949.1308
29522       554388.9371
29705       543440.5911
30112       538333.4655
29546       534117.5619
30000       533078.2844
30074       516254.7953
29919       514317.5252
29507       502367.0397
29770       500181.7264
29559       499815.3125
29923       493816.8809
29624       486937.5937
29992       483162.6054
29901       481860.9122
29834       481357.9195
29825       475892.0433
30046       471689.9206
29690       470639.545
29707       469525.749
29734       469357.2899
29703       465429.5734
30049       461467.3178
29861       460174.8591
29844       452727.9318
29744       449330.8159
29950       449023.1024
29702       447403.4907
29888       445392.9589
29724       444336.9798
29940       443136.5854
29651       442256.8765
30067       442054.0945
29885       435986.1289
29714       432800.3352
29489       428350.5326
29955       421079.058
29938       420767.7112
29637       407563.0075
29594       402874.3907
29987       402574.8569
29647       402240.7953
29998       399980.8799
29587       399672.8579
29929       393520.7995
29629       389437.6577
30094       381763.5549
29995       381607.9961
30109       378936.0887
29704       377088.6246
29692       366009.6535
29736       363872.0389
30043       360816.5491
29895       358195.771
29560       356524.0763
29853       350717.9904
29618       348640.9465
29783       348070.0746
29615       340396.3242
29904       340132.1268
29509       337311.2711
29792       331823.8605
29956       331231.2975
29896       330853.4536
29658       329150.8419
29910       329064.433
29698       326883.5513
29515       326175.9828
30065       325324.054
29889       323176.2786
29996       322801.3294
29543       321014.9284
29564       320894.205
29579       320244.2906
29796       318625.6048
29732       313985.4367
30118       313671.5352
29789       313549.3888
30111       311393.1457
30055       309440.2794
30113       307946.0796
29693       307800.8569
29601       302983.1192
29935       302690.5743
29793       302119.1881
30076       302061.1054
29525       298046.6089
29649       295434.8253
29836       291627.3902
29909       285873.6939
29822       281909.8552
29627       281414.838
30075       280716.3647
29891       279722.7664
29605       279225.9956
29710       277612.9119
29916       270690.6142
29499       264645.3146
29622       262408.3464
30095       257252.7645
29963       251643.9575
29488       249804.8673
29917       249384.5213
29947       248869.8958
29550       244854.0475
29843       243845.1788
30070       241374.5037
29549       238924.2599
29695       236341.6203
29786       236210.9015
29643       230789.189
29932       228053.1314
30083       225213.746
29589       223583.8648
29557       222988.2625
29608       221704.253
29513       219040.5091
29880       218031.225
29921       217615.377
30116       211671.2674
29609       210334.4128
29738       210100.7797
29563       208806.1592
29521       208054.1284
29660       206276.9149
29746       205886.8086
29524       204728.0888
29954       202494.917
29727       201885.6157
29774       197614.4995
30105       195196.9483
29915       194043.4591
29625       191750.1446
29945       186803.4277
30051       185558.8316
29925       182777.7771
30071       181477.8617
29504       181006.1299
29828       178184.8558
29941       176701.5844
29561       175334.3856
29958       173851.9306
29725       173266.5894
29946       172785.8625
29582       172671.1241
29811       170328.5592
29706       169271.0046
29968       168144.5376
29942       167810.3704
29737       167690.1309
29898       167617.4199
29720       167479.4606
29787       167452.6003
30101       166847.2483
29645       166814.9731
30045       166384.0535
29795       166136.4831
30060       164824.0728
30059       164735.9592
29967       164650.482
29628       163865.4832
29511       163046.6378
30108       162979.1262
29528       162305.8093
29964       160410.3804
30044       159695.459
30056       158661.4517
29492       158025.1722
29842       156413.2374
29742       156366.7469
29937       155877.0993
29749       155077.5481
29748       150169.1642
29899       149592.9358
29552       148798.8482
30096       148385.9496
29484       147804.9208
29953       147426.0348
29500       147107.0296
29911       144435.8847
29551       143019.6297
29918       141699.989
29510       141133.3059
30009       140787.7392
29642       139680.9176
29685       136053.7081
29817       135766.4747
29922       132439.4619
30082       132423.9085
29595       131484.2996
29894       131237.7017
29931       130404.7884
30092       130063.1207
29739       128791.75
29907       127453.7862
29485       127379.7919
29534       127302.9333
29841       127265.1484
29699       126587.3691
29810       124014.5979
30004       122815.4725
30063       121147.8071
29592       121101.8185
29820       120813.0175
30097       120560.4446
30073       119292.9236
29821       119231.7975
29823       119150.4488
29776       116621.1333
30087       115500.1941
29892       114722.0767
30106       113981.9967
29846       113785.9264
29531       113172.072
29951       112703.6757
30093       111168.3274
30005       109753.0267
29496       107741.109
29571       107313.0962
29803       107198.4605
29809       106357.9807
29581       106288.0572
29928       103991.2657
29718       102216.0824
29824       99904.7516
30026       99688.7645
30100       99440.3238
30091       99385.9745
29906       98531.0126
29491       98273.5468
29883       98196.569
29696       97102.3608
29815       97031.2173
29981       96507.6623
29773       95924.0197
30090       93981.0186
29784       93888.441
30011       93877.1811
29533       93332.0095
29684       92548.8494
29769       92300.5485
29912       92154.313
29717       88435.3409
29974       87227.3226
29661       86090.9919
30088       83314.8579
29794       80262.2493
29961       79847.8229
29807       77862.1397
29487       77585.195
30014       77287.5609
29865       77139.5923
29538       76266.9402
30020       74771.1754
29798       74645.4634
29620       74518.6883
29577       73278.6485
29740       72854.4681
29985       70217.2163
29666       69597.4879
29680       69588.4447
29972       69515.4239
29708       69381.6517
30030       68644.5658
30029       68384.4244
29761       68068.6803
29805       67712.4799
29539       67481.63
29544       66718.9124
30015       66640.3556
29877       66227.5116
29757       65505.3258
29526       63438.0774
29791       62725.1342
29570       61854.5431
29856       61405.0318
29653       61333.7327
29540       60010.9459
29655       59709.5091
29797       58808.1531
29731       58418.6364
30039       55823.3779
29780       55608.3548
29813       54905.1516
29667       53326.5664
29671       52748.2969
29558       51533.2559
30037       51183.5661
29975       51015.5565
29632       50997.8805
29778       50673.1856
29654       50149.2315
29586       50117.8904
29799       49614.9179
29659       49438.7051
29520       48061.4725
29664       48054.0631
29663       47094.0902
29675       46795.976
29598       46391.1048
29866       45690.8544
29721       45348.5877
29683       45316.8917
29873       45166.9405
29779       44581.9065
29656       44104.1959
29709       44065.4622
29897       43717.8009
29669       41979.0807
29596       41264.0391
29986       40188.4765
29677       39661.4212
29979       38649.3061
29830       38452.4651
29759       36756.0713
29633       36079.2038
30022       35940.1377
29982       35703.6859
29670       34882.524
29634       34605.00
29973       34242.491
29762       33399.5723
29879       33364.2043
29781       33259.9208
29878       33032.3816
30047       32609.6356
29686       32409.8546
29869       31992.6547
29613       31727.7716
29506       31667.3341
29631       30395.4433
29970       30177.3446
30007       30113.5272
29566       29903.9498
29687       29798.4906
29678       28411.1304
29816       28309.9672
29969       28114.4842
29755       27968.3147
30034       27794.1107
29801       27421.8165
29635       26741.013
29874       25614.0199
30027       25454.6959
29673       25153.6109
29814       25064.6472
30019       24931.8214
29593       24927.7595
29988       24593.9994
29519       24584.3747
29871       24125.5655
29569       24082.9023
29553       23919.1909
29691       23094.0255
29984       22929.4604
29636       22534.9569
30052       21863.8998
29876       21560.4034
30035       21186.4118
29983       21069.7806
29747       20895.9208
29591       20867.0069
29574       20712.4174
29527       20366.1058
29804       20330.4564
29750       20326.274
30054       19949.7654
29600       19798.5095
29572       19628.4772
29867       19502.5955
29976       19322.199
29610       18398.3255
29494       18275.1045
29800       18228.3542
29517       18084.8734
29745       17802.6999
29588       17361.1884
29837       17225.5661
29554       16912.9207
30013       16897.722
30017       16419.2646
29903       16240.964
29606       16030.152
29568       15976.553
29535       15812.5851
29555       15378.0241
29711       15123.6669
29868       14812.7687
29890       14794.6375
12301       14691.395
12132       14690.1686
12308       14662.5435
12131       14658.9191
12300       14633.1836
12321       14603.2934
12124       14581.1824
12307       14556.3751
12296       14546.9273
29681       14400.5708
29977       14320.2259
11433       14265.1836
29626       14250.8476
29676       14203.9081
29518       13921.0304
29863       13862.1415
11439       13800.5325
30061       13647.4425
30042       13583.5227
29682       13525.1368
30028       13196.6562
29556       13147.5776
30114       13135.0333
30012       12778.5771
30021       12686.2211
11241       12673.4532
29808       12665.7725
30058       12543.4908
30008       12534.8796
29530       12455.7997
29730       12438.7096
11417       12429.5465
11420       12376.8506
11242       12230.1493
30003       12066.9183
29652       12049.8414
12655       12044.0802
29623       12019.4344
13263       12013.6264
12323       11974.7746
12333       11966.2882
12650       11949.0613
29962       11945.3244
12631       11933.4697
12632       11926.5635
12332       11922.4308
13405       11910.3642
11245       11691.2869
11246       11685.7397
11237       11675.85
30031       11670.4948
30024       11639.3708
